country,surname,rank,length,vowel_count,diacritic_count,first_letter,last_letter,country_code
Serbia,Miletić,91,7,3,1,M,ć,2
Non-Eastern European,walter,0,6,2,0,w,r,5
Montenegro,Boljević,36,8,3,1,B,ć,4
Non-Eastern European,calhoun,0,7,3,0,c,n,5
Non-Eastern European,phillips,0,8,2,0,p,s,5
Non-Eastern European,roth,0,4,1,0,r,h,5
Croatia,Vučković,32,8,3,2,V,ć,0
Non-Eastern European,kramer,0,6,2,0,k,r,5
Non-Eastern European,knight,0,6,1,0,k,t,5
Serbia,Krstić,20,6,1,1,K,ć,2
Non-Eastern European,ferguson,0,8,3,0,f,n,5
Bosnia and Herzegovina,Tadić,33,5,2,1,T,ć,3
Non-Eastern European,shepard,0,7,2,0,s,d,5
Non-Eastern European,scott,0,5,1,0,s,t,5
Non-Eastern European,parks,0,5,1,0,p,s,5
Bosnia and Herzegovina,Vidović,48,7,3,1,V,ć,3
Slovenia,Pušnik,52,6,2,1,P,k,1
Bosnia and Herzegovina,Ostojić,67,7,3,1,O,ć,3
Croatia,Ružić,84,5,2,2,R,ć,0
Croatia,Varga,49,5,2,0,V,a,0
Montenegro,Leković,76,7,3,1,L,ć,4
Slovenia,Jenko,60,5,2,0,J,o,1
Non-Eastern European,chandler,0,8,2,0,c,r,5
Non-Eastern European,sellers,0,7,2,0,s,s,5
Non-Eastern European,lyons,0,5,1,0,l,s,5
Non-Eastern European,mercado,0,7,3,0,m,o,5
Non-Eastern European,rodriguez,0,9,4,0,r,z,5
Slovenia,Blatnik,84,7,2,0,B,k,1
Non-Eastern European,vargas,0,6,2,0,v,s,5
Non-Eastern European,morales,0,7,3,0,m,s,5
Non-Eastern European,hayes,0,5,2,0,h,s,5
Non-Eastern European,torres,0,6,2,0,t,s,5
Bosnia and Herzegovina,Pejić,53,5,2,1,P,ć,3
Non-Eastern European,underwood,0,9,4,0,u,d,5
Non-Eastern European,burt,0,4,1,0,b,t,5
Non-Eastern European,hunter,0,6,2,0,h,r,5
Non-Eastern European,mcleod,0,6,2,0,m,d,5
Non-Eastern European,ray,0,3,1,0,r,y,5
Non-Eastern European,bauer,0,5,3,0,b,r,5
Serbia,Trajković,49,9,3,1,T,ć,2
Non-Eastern European,dyer,0,4,1,0,d,r,5
Bosnia and Herzegovina,Simić,19,5,2,1,S,ć,3
Montenegro,Vučinić,43,7,3,2,V,ć,4
Non-Eastern European,nielsen,0,7,3,0,n,n,5
Non-Eastern European,mcbride,0,7,2,0,m,e,5
Bosnia and Herzegovina,Vuković,15,7,3,1,V,ć,3
Montenegro,Stojanović,38,10,4,1,S,ć,4
Bosnia and Herzegovina,Lučić,77,5,2,2,L,ć,3
Non-Eastern European,guzman,0,6,2,0,g,n,5
Slovenia,Čeh,86,3,1,1,Č,h,1
Non-Eastern European,hamilton,0,8,3,0,h,n,5
Non-Eastern European,mack,0,4,1,0,m,k,5
Non-Eastern European,kline,0,5,2,0,k,e,5
Non-Eastern European,fulton,0,6,2,0,f,n,5
Bosnia and Herzegovina,Marković,3,8,3,1,M,ć,3
Non-Eastern European,hays,0,4,1,0,h,s,5
Montenegro,Rajković,69,8,3,1,R,ć,4
Non-Eastern European,wise,0,4,2,0,w,e,5
Non-Eastern European,riley,0,5,2,0,r,y,5
Bosnia and Herzegovina,Trifković,84,9,3,1,T,ć,3
Non-Eastern European,brady,0,5,1,0,b,y,5
Slovenia,Zajc,31,4,1,0,Z,c,1
Non-Eastern European,garza,0,5,2,0,g,a,5
Non-Eastern European,ross,0,4,1,0,r,s,5
Bosnia and Herzegovina,Musić,62,5,2,1,M,ć,3
Non-Eastern European,leblanc,0,7,2,0,l,c,5
Serbia,Cvetković,15,9,3,1,C,ć,2
Slovenia,Erjavec,45,7,3,0,E,c,1
Non-Eastern European,durham,0,6,2,0,d,m,5
Non-Eastern European,roy,0,3,1,0,r,y,5
Non-Eastern European,gross,0,5,1,0,g,s,5
Non-Eastern European,hickman,0,7,2,0,h,n,5
Non-Eastern European,contreras,0,9,3,0,c,s,5
Non-Eastern European,whitfield,0,9,3,0,w,d,5
Non-Eastern European,norman,0,6,2,0,n,n,5
Non-Eastern European,mcmillan,0,8,2,0,m,n,5
Non-Eastern European,lane,0,4,2,0,l,e,5
Croatia,Grgić,11,5,1,1,G,ć,0
Non-Eastern European,roberson,0,8,3,0,r,n,5
Serbia,Jeremić,88,7,3,1,J,ć,2
Serbia,Radivojević,97,11,5,1,R,ć,2
Non-Eastern European,wagner,0,6,2,0,w,r,5
Non-Eastern European,mason,0,5,2,0,m,n,5
Slovenia,Zupanc,34,6,2,0,Z,c,1
Bosnia and Herzegovina,Brkić,30,5,1,1,B,ć,3
Non-Eastern European,gould,0,5,2,0,g,d,5
Non-Eastern European,santos,0,6,2,0,s,s,5
Non-Eastern European,daniels,0,7,3,0,d,s,5
Non-Eastern European,goodwin,0,7,3,0,g,n,5
Non-Eastern European,wallace,0,7,3,0,w,e,5
Non-Eastern European,carver,0,6,2,0,c,r,5
Non-Eastern European,montgomery,0,10,3,0,m,y,5
Slovenia,Pavlin,63,6,2,0,P,n,1
Non-Eastern European,vazquez,0,7,3,0,v,z,5
Non-Eastern European,harris,0,6,2,0,h,s,5
Non-Eastern European,nicholson,0,9,3,0,n,n,5
Non-Eastern European,bell,0,4,1,0,b,l,5
Serbia,Jovanović,1,9,4,1,J,ć,2
Non-Eastern European,mcfarland,0,9,2,0,m,d,5
Non-Eastern European,griffin,0,7,2,0,g,n,5
Montenegro,Bulatović,18,9,4,1,B,ć,4
Slovenia,Novak,1,5,2,0,N,k,1
Non-Eastern European,armstrong,0,9,2,0,a,g,5
Non-Eastern European,potter,0,6,2,0,p,r,5
Slovenia,Močnik,61,6,2,1,M,k,1
Montenegro,Milošević,27,9,4,2,M,ć,4
Non-Eastern European,soto,0,4,2,0,s,o,5
Montenegro,Drobnjak,85,8,2,0,D,k,4
Non-Eastern European,bright,0,6,1,0,b,t,5
Non-Eastern European,walsh,0,5,1,0,w,h,5
Non-Eastern European,deleon,0,6,3,0,d,n,5
Montenegro,Kaludjerović,55,12,5,1,K,ć,4
Non-Eastern European,wheeler,0,7,3,0,w,r,5
Slovenia,Lešnik,83,6,2,1,L,k,1
Bosnia and Herzegovina,Petković,97,8,3,1,P,ć,3
Non-Eastern European,gray,0,4,1,0,g,y,5
Non-Eastern European,mays,0,4,1,0,m,s,5
Non-Eastern European,fuller,0,6,2,0,f,r,5
Non-Eastern European,estes,0,5,2,0,e,s,5
Non-Eastern European,armstrong,0,9,2,0,a,g,5
Non-Eastern European,munoz,0,5,2,0,m,z,5
Non-Eastern European,pierce,0,6,3,0,p,e,5
Non-Eastern European,wong,0,4,1,0,w,g,5
Slovenia,Sever,47,5,2,0,S,r,1
Non-Eastern European,lester,0,6,2,0,l,r,5
Non-Eastern European,marquez,0,7,3,0,m,z,5
Non-Eastern European,moreno,0,6,3,0,m,o,5
Non-Eastern European,ayala,0,5,3,0,a,a,5
Non-Eastern European,moreno,0,6,3,0,m,o,5
Bosnia and Herzegovina,Hodžić,1,6,2,2,H,ć,3
Non-Eastern European,workman,0,7,2,0,w,n,5
Non-Eastern European,snider,0,6,2,0,s,r,5
Croatia,Pavlić,89,6,2,1,P,ć,0
Croatia,Ćosić,42,5,2,2,Ć,ć,0
Non-Eastern European,burris,0,6,2,0,b,s,5
Slovenia,Pirc,36,4,1,0,P,c,1
Non-Eastern European,hudson,0,6,2,0,h,n,5
Non-Eastern European,cooke,0,5,3,0,c,e,5
Non-Eastern European,obrien,0,6,3,0,o,n,5
Non-Eastern European,duke,0,4,2,0,d,e,5
Non-Eastern European,ruiz,0,4,2,0,r,z,5
Slovenia,Petrović,69,8,3,1,P,ć,1
Serbia,Radović,96,7,3,1,R,ć,2
Non-Eastern European,clemons,0,7,2,0,c,s,5
Non-Eastern European,dominguez,0,9,4,0,d,z,5
Bosnia and Herzegovina,Bajrić,55,6,2,1,B,ć,3
Non-Eastern European,richardson,0,10,3,0,r,n,5
Non-Eastern European,wilkinson,0,9,3,0,w,n,5
Non-Eastern European,reilly,0,6,2,0,r,y,5
Non-Eastern European,duncan,0,6,2,0,d,n,5
Non-Eastern European,garner,0,6,2,0,g,r,5
Non-Eastern European,ballard,0,7,2,0,b,d,5
Non-Eastern European,willis,0,6,2,0,w,s,5
Montenegro,Vukotić,66,7,3,1,V,ć,4
Bosnia and Herzegovina,Ćorić,82,5,2,2,Ć,ć,3
Bosnia and Herzegovina,Đukić,40,5,2,2,Đ,ć,3
Non-Eastern European,salazar,0,7,3,0,s,r,5
Non-Eastern European,gamble,0,6,2,0,g,e,5
Non-Eastern European,hancock,0,7,2,0,h,k,5
Non-Eastern European,lawson,0,6,2,0,l,n,5
Non-Eastern European,lane,0,4,2,0,l,e,5
Non-Eastern European,guy,0,3,1,0,g,y,5
Non-Eastern European,lucas,0,5,2,0,l,s,5
Bosnia and Herzegovina,Imamović,35,8,4,1,I,ć,3
Non-Eastern European,austin,0,6,3,0,a,n,5
Bosnia and Herzegovina,Avdić,25,5,2,1,A,ć,3
Non-Eastern European,good,0,4,2,0,g,d,5
Non-Eastern European,abbott,0,6,2,0,a,t,5
Non-Eastern European,valencia,0,8,4,0,v,a,5
Slovenia,Pintar,72,6,2,0,P,r,1
Croatia,Filipović,13,9,4,1,F,ć,0
Slovenia,Dolinar,76,7,3,0,D,r,1
Non-Eastern European,simpson,0,7,2,0,s,n,5
Serbia,Vuković,66,7,3,1,V,ć,2
Non-Eastern European,valdez,0,6,2,0,v,z,5
Non-Eastern European,warren,0,6,2,0,w,n,5
Serbia,Stefanović,64,10,4,1,S,ć,2
Non-Eastern European,love,0,4,2,0,l,e,5
Slovenia,Uršič,43,5,2,2,U,č,1
Non-Eastern European,edwards,0,7,2,0,e,s,5
Non-Eastern European,house,0,5,3,0,h,e,5
Non-Eastern European,dillard,0,7,2,0,d,d,5
Non-Eastern European,reese,0,5,3,0,r,e,5
Non-Eastern European,head,0,4,2,0,h,d,5
Non-Eastern European,gutierrez,0,9,4,0,g,z,5
Slovenia,Babič,44,5,2,1,B,č,1
Non-Eastern European,mcintyre,0,8,2,0,m,e,5
Non-Eastern European,flores,0,6,2,0,f,s,5
Serbia,Lazarević,30,9,4,1,L,ć,2
Non-Eastern European,vaughn,0,6,2,0,v,n,5
Montenegro,Perović,17,7,3,1,P,ć,4
Bosnia and Herzegovina,Ramić,32,5,2,1,R,ć,3
Non-Eastern European,hutchinson,0,10,3,0,h,n,5
Bosnia and Herzegovina,Delić,6,5,2,1,D,ć,3
Non-Eastern European,rios,0,4,2,0,r,s,5
Non-Eastern European,dean,0,4,2,0,d,n,5
Non-Eastern European,grant,0,5,1,0,g,t,5
Non-Eastern European,michael,0,7,3,0,m,l,5
Slovenia,Jovanović,98,9,4,1,J,ć,1
Montenegro,Jovović,48,7,3,1,J,ć,4
Non-Eastern European,brooks,0,6,2,0,b,s,5
Non-Eastern European,lopez,0,5,2,0,l,z,5
Non-Eastern European,simmons,0,7,2,0,s,s,5
Non-Eastern European,walters,0,7,2,0,w,s,5
Non-Eastern European,bray,0,4,1,0,b,y,5
Croatia,Pavlović,4,8,3,1,P,ć,0
Non-Eastern European,fowler,0,6,2,0,f,r,5
Montenegro,Hodžić,75,6,2,2,H,ć,4
Bosnia and Herzegovina,Todorović,28,9,4,1,T,ć,3
Croatia,Božić,6,5,2,2,B,ć,0
Serbia,Obradović,28,9,4,1,O,ć,2
Non-Eastern European,parker,0,6,2,0,p,r,5
Non-Eastern European,carlson,0,7,2,0,c,n,5
Croatia,Antunović,40,9,4,1,A,ć,0
Non-Eastern European,gomez,0,5,2,0,g,z,5
Serbia,Tasić,48,5,2,1,T,ć,2
Slovenia,Zorko,41,5,2,0,Z,o,1
Non-Eastern European,peck,0,4,1,0,p,k,5
Non-Eastern European,serrano,0,7,3,0,s,o,5
Non-Eastern European,jarvis,0,6,2,0,j,s,5
Non-Eastern European,sutton,0,6,2,0,s,n,5
Non-Eastern European,hawkins,0,7,2,0,h,s,5
Non-Eastern European,roman,0,5,2,0,r,n,5
Non-Eastern European,douglas,0,7,3,0,d,s,5
Non-Eastern European,coffey,0,6,2,0,c,y,5
Non-Eastern European,hughes,0,6,2,0,h,s,5
Non-Eastern European,noel,0,4,2,0,n,l,5
Non-Eastern European,bird,0,4,1,0,b,d,5
Non-Eastern European,hicks,0,5,1,0,h,s,5
Non-Eastern European,molina,0,6,3,0,m,a,5
Non-Eastern European,odonnell,0,8,3,0,o,l,5
Bosnia and Herzegovina,Lazarević,83,9,4,1,L,ć,3
Bosnia and Herzegovina,Pavlović,21,8,3,1,P,ć,3
Montenegro,Stanišić,50,8,3,2,S,ć,4
Non-Eastern European,hanson,0,6,2,0,h,n,5
Bosnia and Herzegovina,Begić,26,5,2,1,B,ć,3
Non-Eastern European,preston,0,7,2,0,p,n,5
Non-Eastern European,burke,0,5,2,0,b,e,5
Non-Eastern European,dawson,0,6,2,0,d,n,5
Non-Eastern European,maynard,0,7,2,0,m,d,5
Montenegro,Milić,32,5,2,1,M,ć,4
Non-Eastern European,morris,0,6,2,0,m,s,5
Non-Eastern European,perry,0,5,1,0,p,y,5
Non-Eastern European,haney,0,5,2,0,h,y,5
Bosnia and Herzegovina,Smajlović,75,9,3,1,S,ć,3
Non-Eastern European,porter,0,6,2,0,p,r,5
Non-Eastern European,hoover,0,6,3,0,h,r,5
Non-Eastern European,pace,0,4,2,0,p,e,5
Non-Eastern European,oliver,0,6,3,0,o,r,5
Serbia,Jović,33,5,2,1,J,ć,2
Non-Eastern European,stafford,0,8,2,0,s,d,5
Non-Eastern European,schneider,0,9,3,0,s,r,5
Non-Eastern European,mclaughlin,0,10,3,0,m,n,5
Non-Eastern European,olson,0,5,2,0,o,n,5
Croatia,Marić,67,5,2,1,M,ć,0
Montenegro,Popović,1,7,3,1,P,ć,4
Non-Eastern European,mendoza,0,7,3,0,m,a,5
Croatia,Barišić,25,7,3,2,B,ć,0
Serbia,Tomić,17,5,2,1,T,ć,2
Non-Eastern European,trevino,0,7,3,0,t,o,5
Non-Eastern European,fletcher,0,8,2,0,f,r,5
Non-Eastern European,hall,0,4,1,0,h,l,5
Non-Eastern European,espinoza,0,8,4,0,e,a,5
Non-Eastern European,reyes,0,5,2,0,r,s,5
Croatia,Abramović,86,9,4,1,A,ć,0
Non-Eastern European,stein,0,5,2,0,s,n,5
Serbia,Ćirić,78,5,2,2,Ć,ć,2
Non-Eastern European,conway,0,6,2,0,c,y,5
Non-Eastern European,berger,0,6,2,0,b,r,5
Non-Eastern European,gaines,0,6,3,0,g,s,5
Non-Eastern European,osborn,0,6,2,0,o,n,5
Non-Eastern European,marshall,0,8,2,0,m,l,5
Non-Eastern European,tran,0,4,1,0,t,n,5
Non-Eastern European,odom,0,4,2,0,o,m,5
Non-Eastern European,barton,0,6,2,0,b,n,5
Non-Eastern European,wilson,0,6,2,0,w,n,5
Serbia,Gavrilović,79,10,4,1,G,ć,2
Non-Eastern European,bishop,0,6,2,0,b,p,5
Non-Eastern European,schwartz,0,8,1,0,s,z,5
Bosnia and Herzegovina,Jurić,69,5,2,1,J,ć,3
Non-Eastern European,shannon,0,7,2,0,s,n,5
Non-Eastern European,ellis,0,5,2,0,e,s,5
Croatia,Kovačević,3,9,4,2,K,ć,0
Croatia,Lovrić,7,6,2,1,L,ć,0
Bosnia and Herzegovina,Knežević,18,8,3,2,K,ć,3
Non-Eastern European,jefferson,0,9,3,0,j,n,5
Non-Eastern European,shelton,0,7,2,0,s,n,5
Non-Eastern European,black,0,5,1,0,b,k,5
Bosnia and Herzegovina,Andrić,71,6,2,1,A,ć,3
Non-Eastern European,le,0,2,1,0,l,e,5
Serbia,Filipović,21,9,4,1,F,ć,2
Non-Eastern European,blankenship,0,11,3,0,b,p,5
Croatia,Šimić,28,5,2,2,Š,ć,0
Non-Eastern European,anthony,0,7,2,0,a,y,5
Non-Eastern European,king,0,4,1,0,k,g,5
Non-Eastern European,holder,0,6,2,0,h,r,5
Non-Eastern European,dunn,0,4,1,0,d,n,5
Non-Eastern European,wells,0,5,1,0,w,s,5
Non-Eastern European,padilla,0,7,3,0,p,a,5
Non-Eastern European,pena,0,4,2,0,p,a,5
Non-Eastern European,hawkins,0,7,2,0,h,s,5
Non-Eastern European,cross,0,5,1,0,c,s,5
Non-Eastern European,medina,0,6,3,0,m,a,5
Croatia,Babić,8,5,2,1,B,ć,0
Serbia,Stojković,62,9,3,1,S,ć,2
Non-Eastern European,rice,0,4,2,0,r,e,5
Croatia,Lončar,26,6,2,1,L,r,0
Bosnia and Herzegovina,Selimović,43,9,4,1,S,ć,3
Non-Eastern European,watson,0,6,2,0,w,n,5
Croatia,Vuković,48,7,3,1,V,ć,0
Slovenia,Vidmar,11,6,2,0,V,r,1
Bosnia and Herzegovina,Dizdarević,56,10,4,1,D,ć,3
Croatia,Novaković,56,9,4,1,N,ć,0
Non-Eastern European,ramsey,0,6,2,0,r,y,5
Serbia,Milošević,19,9,4,2,M,ć,2
Slovenia,Kastelic,25,8,3,0,K,c,1
Non-Eastern European,goodman,0,7,3,0,g,n,5
Non-Eastern European,moss,0,4,1,0,m,s,5
Non-Eastern European,morales,0,7,3,0,m,s,5
Croatia,Mikulić,73,7,3,1,M,ć,0
Non-Eastern European,knight,0,6,1,0,k,t,5
Non-Eastern European,ochoa,0,5,3,0,o,a,5
Non-Eastern European,holt,0,4,1,0,h,t,5
Non-Eastern European,solomon,0,7,3,0,s,n,5
Croatia,Posavec,46,7,3,0,P,c,0
Non-Eastern European,william,0,7,3,0,w,m,5
Non-Eastern European,young,0,5,2,0,y,g,5
Serbia,Živanović,38,9,4,2,Ž,ć,2
Non-Eastern European,david,0,5,2,0,d,d,5
Non-Eastern European,fischer,0,7,2,0,f,r,5
Non-Eastern European,norris,0,6,2,0,n,s,5
Non-Eastern European,adams,0,5,2,0,a,s,5
Non-Eastern European,floyd,0,5,1,0,f,d,5
Non-Eastern European,battle,0,6,2,0,b,e,5
Non-Eastern European,fisher,0,6,2,0,f,r,5
Montenegro,Pavlović,73,8,3,1,P,ć,4
Non-Eastern European,meyers,0,6,2,0,m,s,5
Non-Eastern European,hicks,0,5,1,0,h,s,5
Non-Eastern European,benton,0,6,2,0,b,n,5
Non-Eastern European,miles,0,5,2,0,m,s,5
Non-Eastern European,colon,0,5,2,0,c,n,5
Croatia,Galić,61,5,2,1,G,ć,0
Non-Eastern European,conner,0,6,2,0,c,r,5
Croatia,Cvitković,93,9,3,1,C,ć,0
Non-Eastern European,robertson,0,9,3,0,r,n,5
Non-Eastern European,meyer,0,5,2,0,m,r,5
Slovenia,Kolarič,99,7,3,1,K,č,1
Serbia,Maksimović,86,10,4,1,M,ć,2
Non-Eastern European,hansen,0,6,2,0,h,n,5
Bosnia and Herzegovina,Mešić,66,5,2,2,M,ć,3
Non-Eastern European,ramirez,0,7,3,0,r,z,5
Non-Eastern European,benson,0,6,2,0,b,n,5
Non-Eastern European,malone,0,6,3,0,m,e,5
Non-Eastern European,weaver,0,6,3,0,w,r,5
Slovenia,Kokalj,87,6,2,0,K,j,1
Non-Eastern European,hardin,0,6,2,0,h,n,5
Non-Eastern European,boone,0,5,3,0,b,e,5
Slovenia,Korošec,15,7,3,1,K,c,1
Non-Eastern European,ware,0,4,2,0,w,e,5
Croatia,Kovač,43,5,2,1,K,č,0
Non-Eastern European,carr,0,4,1,0,c,r,5
Slovenia,Klemenčič,30,9,3,2,K,č,1
Serbia,Živković,10,8,3,2,Ž,ć,2
Non-Eastern European,hubbard,0,7,2,0,h,d,5
Croatia,Grubišić,53,8,3,2,G,ć,0
Non-Eastern European,garrison,0,8,3,0,g,n,5
Non-Eastern European,turner,0,6,2,0,t,r,5
Croatia,Burić,69,5,2,1,B,ć,0
Non-Eastern European,cochran,0,7,2,0,c,n,5
Non-Eastern European,thomas,0,6,2,0,t,s,5
Non-Eastern European,cervantes,0,9,3,0,c,s,5
Bosnia and Herzegovina,Lazić,36,5,2,1,L,ć,3
Non-Eastern European,fleming,0,7,2,0,f,g,5
Slovenia,Cerar,88,5,2,0,C,r,1
Slovenia,Tomažič,42,7,3,2,T,č,1
Non-Eastern European,dixon,0,5,2,0,d,n,5
Slovenia,Hrovat,37,6,2,0,H,t,1
Croatia,Jurčević,81,8,3,2,J,ć,0
Non-Eastern European,kent,0,4,1,0,k,t,5
Slovenia,Golob,10,5,2,0,G,b,1
Non-Eastern European,moses,0,5,2,0,m,s,5
Non-Eastern European,roberts,0,7,2,0,r,s,5
Non-Eastern European,dorsey,0,6,2,0,d,y,5
Montenegro,Dragović,88,8,3,1,D,ć,4
Slovenia,Janežič,70,7,3,2,J,č,1
Serbia,Pešić,54,5,2,2,P,ć,2
Bosnia and Herzegovina,Bašić,14,5,2,2,B,ć,3
Montenegro,Rakočević,54,9,4,2,R,ć,4
Non-Eastern European,medina,0,6,3,0,m,a,5
Non-Eastern European,fields,0,6,2,0,f,s,5
Bosnia and Herzegovina,Bošnjak,41,7,2,1,B,k,3
Non-Eastern European,wynn,0,4,0,0,w,n,5
Non-Eastern European,lawrence,0,8,3,0,l,e,5
Slovenia,Horvat,2,6,2,0,H,t,1
Non-Eastern European,herrera,0,7,3,0,h,a,5
Non-Eastern European,foreman,0,7,3,0,f,n,5
Non-Eastern European,burke,0,5,2,0,b,e,5
Non-Eastern European,langley,0,7,2,0,l,y,5
Non-Eastern European,rodgers,0,7,2,0,r,s,5
Montenegro,Ćetković,29,8,3,2,Ć,ć,4
Slovenia,Kovač,7,5,2,1,K,č,1
Montenegro,Todorović,42,9,4,1,T,ć,4
Croatia,Dragičević,75,10,4,2,D,ć,0
Non-Eastern European,hester,0,6,2,0,h,r,5
Non-Eastern European,dotson,0,6,2,0,d,n,5
Serbia,Mladenović,34,10,4,1,M,ć,2
Non-Eastern European,sears,0,5,2,0,s,s,5
Bosnia and Herzegovina,Halilović,9,9,4,1,H,ć,3
Non-Eastern European,richmond,0,8,2,0,r,d,5
Non-Eastern European,blackburn,0,9,2,0,b,n,5
Non-Eastern European,chang,0,5,1,0,c,g,5
Non-Eastern European,pierce,0,6,3,0,p,e,5
Non-Eastern European,espinoza,0,8,4,0,e,a,5
Non-Eastern European,nunez,0,5,2,0,n,z,5
Bosnia and Herzegovina,Mandić,95,6,2,1,M,ć,3
Serbia,Milovanović,41,11,5,1,M,ć,2
Non-Eastern European,weeks,0,5,2,0,w,s,5
Serbia,Babić,73,5,2,1,B,ć,2
Bosnia and Herzegovina,Jovanović,12,9,4,1,J,ć,3
Non-Eastern European,buchanan,0,8,3,0,b,n,5
Non-Eastern European,sloan,0,5,2,0,s,n,5
Slovenia,Oblak,22,5,2,0,O,k,1
Non-Eastern European,puckett,0,7,2,0,p,t,5
Non-Eastern European,mills,0,5,1,0,m,s,5
Serbia,Mihajlović,55,10,4,1,M,ć,2
Non-Eastern European,bruce,0,5,2,0,b,e,5
Non-Eastern European,morrow,0,6,2,0,m,w,5
Croatia,Mitrović,72,8,3,1,M,ć,0
Croatia,Krznarić,95,8,2,1,K,ć,0
Non-Eastern European,vaughan,0,7,3,0,v,n,5
Croatia,Matijević,34,9,4,1,M,ć,0
Non-Eastern European,burns,0,5,1,0,b,s,5
Non-Eastern European,shaffer,0,7,2,0,s,r,5
Non-Eastern European,frost,0,5,1,0,f,t,5
Montenegro,Novaković,56,9,4,1,N,ć,4
Montenegro,Damjanović,53,10,4,1,D,ć,4
Non-Eastern European,burton,0,6,2,0,b,n,5
Non-Eastern European,johnston,0,8,2,0,j,n,5
Non-Eastern European,sampson,0,7,2,0,s,n,5
Non-Eastern European,branch,0,6,1,0,b,h,5
Croatia,Knežević,1,8,3,2,K,ć,0
Non-Eastern European,mckee,0,5,2,0,m,e,5
Non-Eastern European,pugh,0,4,1,0,p,h,5
Croatia,Đurđević,78,8,3,3,Đ,ć,0
Croatia,Herceg,85,6,2,0,H,g,0
Non-Eastern European,glover,0,6,2,0,g,r,5
Croatia,Petković,83,8,3,1,P,ć,0
Montenegro,Djurišić,65,8,3,2,D,ć,4
Non-Eastern European,bradford,0,8,2,0,b,d,5
Non-Eastern European,schmidt,0,7,1,0,s,t,5
Non-Eastern European,tyson,0,5,1,0,t,n,5
Non-Eastern European,duffy,0,5,1,0,d,y,5
Montenegro,Vujošević,44,9,4,2,V,ć,4
Non-Eastern European,garrett,0,7,2,0,g,t,5
Non-Eastern European,richards,0,8,2,0,r,s,5
Non-Eastern European,tucker,0,6,2,0,t,r,5
Non-Eastern European,carr,0,4,1,0,c,r,5
Non-Eastern European,warner,0,6,2,0,w,r,5
Non-Eastern European,parsons,0,7,2,0,p,s,5
Non-Eastern European,mcclure,0,7,2,0,m,e,5
Non-Eastern European,beasley,0,7,3,0,b,y,5
Montenegro,Božović,12,7,3,2,B,ć,4
Non-Eastern European,hendricks,0,9,2,0,h,s,5
Non-Eastern European,olsen,0,5,2,0,o,n,5
Non-Eastern European,prince,0,6,2,0,p,e,5
Slovenia,Kos,9,3,1,0,K,s,1
Non-Eastern European,alexander,0,9,4,0,a,r,5
Non-Eastern European,giles,0,5,2,0,g,s,5
Non-Eastern European,mcgee,0,5,2,0,m,e,5
Non-Eastern European,dunn,0,4,1,0,d,n,5
Non-Eastern European,case,0,4,2,0,c,e,5
Non-Eastern European,matthews,0,8,2,0,m,s,5
Non-Eastern European,salas,0,5,2,0,s,s,5
Non-Eastern European,stokes,0,6,2,0,s,s,5
Croatia,Ivanković,63,9,4,1,I,ć,0
Serbia,Đukić,87,5,2,2,Đ,ć,2
Non-Eastern European,sims,0,4,1,0,s,s,5
Non-Eastern European,graham,0,6,2,0,g,m,5
Non-Eastern European,hess,0,4,1,0,h,s,5
Serbia,Bogdanović,44,10,4,1,B,ć,2
Serbia,Mitrović,29,8,3,1,M,ć,2
Slovenia,Majcen,50,6,2,0,M,n,1
Non-Eastern European,chaney,0,6,2,0,c,y,5
Bosnia and Herzegovina,Jukić,80,5,2,1,J,ć,3
Non-Eastern European,bartlett,0,8,2,0,b,t,5
Slovenia,Petek,23,5,2,0,P,k,1
Non-Eastern European,mcmahon,0,7,2,0,m,n,5
Non-Eastern European,keith,0,5,2,0,k,h,5
Serbia,Anđelković,56,10,4,2,A,ć,2
Non-Eastern European,talley,0,6,2,0,t,y,5
Non-Eastern European,cabrera,0,7,3,0,c,a,5
Non-Eastern European,velasquez,0,9,4,0,v,z,5
Croatia,Bošnjak,10,7,2,1,B,k,0
Montenegro,Drašković,57,9,3,2,D,ć,4
Non-Eastern European,raymond,0,7,2,0,r,d,5
Non-Eastern European,copeland,0,8,3,0,c,d,5
Non-Eastern European,riley,0,5,2,0,r,y,5
Serbia,Jevtić,61,6,2,1,J,ć,2
Non-Eastern European,harvey,0,6,2,0,h,y,5
Non-Eastern European,jenkins,0,7,2,0,j,s,5
Bosnia and Herzegovina,Kovač,96,5,2,1,K,č,3
Non-Eastern European,mccray,0,6,1,0,m,y,5
Non-Eastern European,weiss,0,5,2,0,w,s,5
Non-Eastern European,rogers,0,6,2,0,r,s,5
Non-Eastern European,brewer,0,6,2,0,b,r,5
Non-Eastern European,wade,0,4,2,0,w,e,5
Non-Eastern European,berg,0,4,1,0,b,g,5
Non-Eastern European,blair,0,5,2,0,b,r,5
Montenegro,Mijović,68,7,3,1,M,ć,4
Non-Eastern European,lawrence,0,8,3,0,l,e,5
Non-Eastern European,melton,0,6,2,0,m,n,5
Non-Eastern European,hammond,0,7,2,0,h,d,5
Non-Eastern European,hooper,0,6,3,0,h,r,5
Slovenia,Kranjc,49,6,1,0,K,c,1
Non-Eastern European,haynes,0,6,2,0,h,s,5
Non-Eastern European,martinez,0,8,3,0,m,z,5
Non-Eastern European,terry,0,5,1,0,t,y,5
Non-Eastern European,gallagher,0,9,3,0,g,r,5
