country,surname,rank,length,vowel_count,diacritic_count,first_letter,last_letter,country_code
Non-Eastern European,moran,0,5,2,0,m,n,5
Non-Eastern European,flynn,0,5,0,0,f,n,5
Non-Eastern European,swanson,0,7,2,0,s,n,5
Slovenia,Jelen,67,5,2,0,J,n,1
Non-Eastern European,pruitt,0,6,2,0,p,t,5
Non-Eastern European,freeman,0,7,3,0,f,n,5
Non-Eastern European,england,0,7,2,0,e,d,5
Non-Eastern European,clay,0,4,1,0,c,y,5
Serbia,Radosavljević,53,13,5,1,R,ć,2
Serbia,Matić,77,5,2,1,M,ć,2
Non-Eastern European,mcdowell,0,8,2,0,m,l,5
Slovenia,Koren,29,5,2,0,K,n,1
Non-Eastern European,morse,0,5,2,0,m,e,5
Non-Eastern European,lamb,0,4,1,0,l,b,5
Non-Eastern European,green,0,5,2,0,g,n,5
Non-Eastern European,anderson,0,8,3,0,a,n,5
Montenegro,Filipović,70,9,4,1,F,ć,4
Serbia,Popović,9,7,3,1,P,ć,2
Slovenia,Gregorič,73,8,3,1,G,č,1
Bosnia and Herzegovina,Blagojević,49,10,4,1,B,ć,3
Montenegro,Bošković,19,8,3,2,B,ć,4
Non-Eastern European,buck,0,4,1,0,b,k,5
Non-Eastern European,strong,0,6,1,0,s,g,5
Non-Eastern European,boyle,0,5,2,0,b,e,5
Non-Eastern European,hines,0,5,2,0,h,s,5
Non-Eastern European,garcia,0,6,3,0,g,a,5
Non-Eastern European,vazquez,0,7,3,0,v,z,5
Non-Eastern European,perkins,0,7,2,0,p,s,5
Non-Eastern European,graham,0,6,2,0,g,m,5
Slovenia,Kobal,90,5,2,0,K,l,1
Non-Eastern European,castillo,0,8,3,0,c,o,5
Non-Eastern European,finley,0,6,2,0,f,y,5
Croatia,Radić,74,5,2,1,R,ć,0
Slovenia,Kralj,14,5,1,0,K,j,1
Non-Eastern European,wyatt,0,5,1,0,w,t,5
Non-Eastern European,barker,0,6,2,0,b,r,5
Non-Eastern European,simon,0,5,2,0,s,n,5
Non-Eastern European,richard,0,7,2,0,r,d,5
Non-Eastern European,hayden,0,6,2,0,h,n,5
Non-Eastern European,barnett,0,7,2,0,b,t,5
Non-Eastern European,shepherd,0,8,2,0,s,d,5
Non-Eastern European,stevens,0,7,2,0,s,s,5
Croatia,Cindrić,52,7,2,1,C,ć,0
Montenegro,Korać,79,5,2,1,K,ć,4
Croatia,Vukelić,77,7,3,1,V,ć,0
Non-Eastern European,clayton,0,7,2,0,c,n,5
Non-Eastern European,rose,0,4,2,0,r,e,5
Serbia,Ignjatović,95,10,4,1,I,ć,2
Montenegro,Radović,6,7,3,1,R,ć,4
Non-Eastern European,clark,0,5,1,0,c,k,5
Non-Eastern European,nieves,0,6,3,0,n,s,5
Slovenia,Košir,28,5,2,1,K,r,1
Bosnia and Herzegovina,Tomić,5,5,2,1,T,ć,3
Non-Eastern European,baker,0,5,2,0,b,r,5
Non-Eastern European,conley,0,6,2,0,c,y,5
Non-Eastern European,castro,0,6,2,0,c,o,5
Montenegro,Janković,22,8,3,1,J,ć,4
Non-Eastern European,li,0,2,1,0,l,i,5
Non-Eastern European,dickson,0,7,2,0,d,n,5
Non-Eastern European,emerson,0,7,3,0,e,n,5
Non-Eastern European,gates,0,5,2,0,g,s,5
Non-Eastern European,hughes,0,6,2,0,h,s,5
Non-Eastern European,ewing,0,5,2,0,e,g,5
Non-Eastern European,ward,0,4,1,0,w,d,5
Croatia,Janković,68,8,3,1,J,ć,0
Non-Eastern European,barr,0,4,1,0,b,r,5
Montenegro,Pejović,13,7,3,1,P,ć,4
Slovenia,Jerman,46,6,2,0,J,n,1
Bosnia and Herzegovina,Mujkić,51,6,2,1,M,ć,3
Non-Eastern European,hunter,0,6,2,0,h,r,5
Non-Eastern European,nguyen,0,6,2,0,n,n,5
Non-Eastern European,mullins,0,7,2,0,m,s,5
Non-Eastern European,ramos,0,5,2,0,r,s,5
Non-Eastern European,levine,0,6,3,0,l,e,5
Bosnia and Herzegovina,Mitrović,23,8,3,1,M,ć,3
Non-Eastern European,black,0,5,1,0,b,k,5
Non-Eastern European,hebert,0,6,2,0,h,t,5
Non-Eastern European,ferguson,0,8,3,0,f,n,5
Non-Eastern European,spencer,0,7,2,0,s,r,5
Non-Eastern European,mclean,0,6,2,0,m,n,5
Non-Eastern European,orr,0,3,1,0,o,r,5
Slovenia,Jug,89,3,1,0,J,g,1
Non-Eastern European,sparks,0,6,1,0,s,s,5
Non-Eastern European,delacruz,0,8,3,0,d,z,5
Bosnia and Herzegovina,Stojanović,39,10,4,1,S,ć,3
Non-Eastern European,oneal,0,5,3,0,o,l,5
Non-Eastern European,sullivan,0,8,3,0,s,n,5
Non-Eastern European,faulkner,0,8,3,0,f,r,5
Non-Eastern European,rutledge,0,8,3,0,r,e,5
Non-Eastern European,chase,0,5,2,0,c,e,5
Non-Eastern European,cortez,0,6,2,0,c,z,5
Montenegro,Nikolić,16,7,3,1,N,ć,4
Non-Eastern European,cannon,0,6,2,0,c,n,5
Non-Eastern European,jordan,0,6,2,0,j,n,5
Non-Eastern European,wood,0,4,2,0,w,d,5
Non-Eastern European,bond,0,4,1,0,b,d,5
Non-Eastern European,guerrero,0,8,4,0,g,o,5
Non-Eastern European,hood,0,4,2,0,h,d,5
Non-Eastern European,hanson,0,6,2,0,h,n,5
Non-Eastern European,george,0,6,3,0,g,e,5
Non-Eastern European,greer,0,5,2,0,g,r,5
Non-Eastern European,logan,0,5,2,0,l,n,5
Montenegro,Živković,41,8,3,2,Ž,ć,4
Non-Eastern European,potts,0,5,1,0,p,s,5
Non-Eastern European,chapman,0,7,2,0,c,n,5
Non-Eastern European,carlson,0,7,2,0,c,n,5
Non-Eastern European,hudson,0,6,2,0,h,n,5
Non-Eastern European,mcguire,0,7,3,0,m,e,5
Non-Eastern European,delaney,0,7,3,0,d,y,5
Non-Eastern European,park,0,4,1,0,p,k,5
Non-Eastern European,joyner,0,6,2,0,j,r,5
Bosnia and Herzegovina,Perić,31,5,2,1,P,ć,3
Serbia,Đokić,45,5,2,2,Đ,ć,2
Non-Eastern European,arnold,0,6,2,0,a,d,5
Non-Eastern European,gutierrez,0,9,4,0,g,z,5
Non-Eastern European,howe,0,4,2,0,h,e,5
Non-Eastern European,sandoval,0,8,3,0,s,l,5
Slovenia,Zadravec,75,8,3,0,Z,c,1
Non-Eastern European,shields,0,7,2,0,s,s,5
Bosnia and Herzegovina,Vasić,78,5,2,1,V,ć,3
Non-Eastern European,delgado,0,7,3,0,d,o,5
Croatia,Miletić,45,7,3,1,M,ć,0
Non-Eastern European,dominguez,0,9,4,0,d,z,5
Non-Eastern European,chan,0,4,1,0,c,n,5
Serbia,Arsić,67,5,2,1,A,ć,2
Non-Eastern European,silva,0,5,2,0,s,a,5
Non-Eastern European,barnes,0,6,2,0,b,s,5
Non-Eastern European,ratliff,0,7,2,0,r,f,5
Non-Eastern European,randolph,0,8,2,0,r,h,5
Non-Eastern European,bowman,0,6,2,0,b,n,5
Montenegro,Petrović,24,8,3,1,P,ć,4
Non-Eastern European,joseph,0,6,2,0,j,h,5
Non-Eastern European,tucker,0,6,2,0,t,r,5
Non-Eastern European,burks,0,5,1,0,b,s,5
Non-Eastern European,hurst,0,5,1,0,h,t,5
Slovenia,Kavčič,20,6,2,2,K,č,1
Non-Eastern European,salinas,0,7,3,0,s,s,5
Montenegro,Djukanović,47,10,4,1,D,ć,4
Non-Eastern European,carroll,0,7,2,0,c,l,5
Serbia,Lazić,26,5,2,1,L,ć,2
Serbia,Jakovljević,81,11,4,1,J,ć,2
Slovenia,Leban,80,5,2,0,L,n,1
Non-Eastern European,carpenter,0,9,3,0,c,r,5
Non-Eastern European,brock,0,5,1,0,b,k,5
Non-Eastern European,wolf,0,4,1,0,w,f,5
Bosnia and Herzegovina,Mujić,60,5,2,1,M,ć,3
Non-Eastern European,vinson,0,6,2,0,v,n,5
Serbia,Đorđević,4,8,3,3,Đ,ć,2
Croatia,Kovačić,16,7,3,2,K,ć,0
Non-Eastern European,jacobs,0,6,2,0,j,s,5
Non-Eastern European,foster,0,6,2,0,f,r,5
Non-Eastern European,elliott,0,7,3,0,e,t,5
Montenegro,Joksimović,93,10,4,1,J,ć,4
Non-Eastern European,ford,0,4,1,0,f,d,5
Non-Eastern European,knowles,0,7,2,0,k,s,5
Non-Eastern European,kennedy,0,7,2,0,k,y,5
Montenegro,Martinović,28,10,4,1,M,ć,4
Serbia,Ilić,5,4,2,1,I,ć,2
Non-Eastern European,gibson,0,6,2,0,g,n,5
Non-Eastern European,nunez,0,5,2,0,n,z,5
Non-Eastern European,mueller,0,7,3,0,m,r,5
Bosnia and Herzegovina,Dedić,38,5,2,1,D,ć,3
Non-Eastern European,skinner,0,7,2,0,s,r,5
Non-Eastern European,nichols,0,7,2,0,n,s,5
Non-Eastern European,erickson,0,8,3,0,e,n,5
Non-Eastern European,lynch,0,5,0,0,l,h,5
Croatia,Jurišić,57,7,3,2,J,ć,0
Non-Eastern European,fitzgerald,0,10,3,0,f,d,5
Croatia,Matić,44,5,2,1,M,ć,0
Slovenia,Zupančič,5,8,3,2,Z,č,1
Serbia,Milić,80,5,2,1,M,ć,2
Non-Eastern European,summers,0,7,2,0,s,s,5
Slovenia,Potočnik,6,8,3,1,P,k,1
Non-Eastern European,hull,0,4,1,0,h,l,5
Slovenia,Turk,12,4,1,0,T,k,1
Montenegro,Terzić,87,6,2,1,T,ć,4
Montenegro,Djuretić,90,8,3,1,D,ć,4
Montenegro,Miranović,58,9,4,1,M,ć,4
Non-Eastern European,hampton,0,7,2,0,h,n,5
Non-Eastern European,hart,0,4,1,0,h,t,5
Non-Eastern European,stone,0,5,2,0,s,e,5
Non-Eastern European,mathews,0,7,2,0,m,s,5
Non-Eastern European,carpenter,0,9,3,0,c,r,5
Non-Eastern European,keller,0,6,2,0,k,r,5
Slovenia,Medved,33,6,2,0,M,d,1
Bosnia and Herzegovina,Omerović,68,8,4,1,O,ć,3
Non-Eastern European,mckinney,0,8,2,0,m,y,5
Non-Eastern European,wilkins,0,7,2,0,w,s,5
Non-Eastern European,jensen,0,6,2,0,j,n,5
Non-Eastern European,harper,0,6,2,0,h,r,5
Bosnia and Herzegovina,Hasanović,88,9,4,1,H,ć,3
Non-Eastern European,evans,0,5,2,0,e,s,5
Montenegro,Lekić,72,5,2,1,L,ć,4
Non-Eastern European,leach,0,5,2,0,l,h,5
Non-Eastern European,trujillo,0,8,3,0,t,o,5
Montenegro,Šćepanović,34,10,4,3,Š,ć,4
Non-Eastern European,frederick,0,9,3,0,f,k,5
Non-Eastern European,navarro,0,7,3,0,n,o,5
Non-Eastern European,heath,0,5,2,0,h,h,5
Non-Eastern European,alvarez,0,7,3,0,a,z,5
Non-Eastern European,webb,0,4,1,0,w,b,5
Non-Eastern European,kane,0,4,2,0,k,e,5
Non-Eastern European,pitts,0,5,1,0,p,s,5
Non-Eastern European,dickerson,0,9,3,0,d,n,5
Non-Eastern European,vega,0,4,2,0,v,a,5
Non-Eastern European,saunders,0,8,3,0,s,s,5
Serbia,Radovanović,32,11,5,1,R,ć,2
Serbia,Nedeljković,37,11,4,1,N,ć,2
Non-Eastern European,mcdonald,0,8,2,0,m,d,5
Non-Eastern European,kinney,0,6,2,0,k,y,5
Non-Eastern European,williams,0,8,3,0,w,s,5
Slovenia,Tomšič,68,6,2,2,T,č,1
Montenegro,Radević,59,7,3,1,R,ć,4
Non-Eastern European,morgan,0,6,2,0,m,n,5
Serbia,Veljković,72,9,3,1,V,ć,2
Slovenia,Rupnik,53,6,2,0,R,k,1
Non-Eastern European,haley,0,5,2,0,h,y,5
Non-Eastern European,morrison,0,8,3,0,m,n,5
Non-Eastern European,sanders,0,7,2,0,s,s,5
Non-Eastern European,marks,0,5,1,0,m,s,5
Bosnia and Herzegovina,Ilić,13,4,2,1,I,ć,3
Slovenia,Nemec,97,5,2,0,N,c,1
Bosnia and Herzegovina,Lukić,16,5,2,1,L,ć,3
Non-Eastern European,long,0,4,1,0,l,g,5
Croatia,Šimunić,64,7,3,2,Š,ć,0
Non-Eastern European,willis,0,6,2,0,w,s,5
Non-Eastern European,rocha,0,5,2,0,r,a,5
Non-Eastern European,moody,0,5,2,0,m,y,5
Non-Eastern European,glass,0,5,1,0,g,s,5
Non-Eastern European,jennings,0,8,2,0,j,s,5
Non-Eastern European,owens,0,5,2,0,o,s,5
Non-Eastern European,hogan,0,5,2,0,h,n,5
Non-Eastern European,sosa,0,4,2,0,s,a,5
Non-Eastern European,meyer,0,5,2,0,m,r,5
Serbia,Kovačević,24,9,4,2,K,ć,2
Non-Eastern European,acosta,0,6,3,0,a,a,5
Serbia,Stamenković,92,11,4,1,S,ć,2
Montenegro,Tomić,86,5,2,1,T,ć,4
Non-Eastern European,mccall,0,6,1,0,m,l,5
Montenegro,Mitrović,35,8,3,1,M,ć,4
Non-Eastern European,booth,0,5,2,0,b,h,5
Non-Eastern European,higgins,0,7,2,0,h,s,5
Non-Eastern European,owen,0,4,2,0,o,n,5
Non-Eastern European,rivers,0,6,2,0,r,s,5
Non-Eastern European,terrell,0,7,2,0,t,l,5
Non-Eastern European,lowery,0,6,2,0,l,y,5
Non-Eastern European,zamora,0,6,3,0,z,a,5
Non-Eastern European,maxwell,0,7,2,0,m,l,5
Non-Eastern European,velez,0,5,2,0,v,z,5
Non-Eastern European,holmes,0,6,2,0,h,s,5
Non-Eastern European,kerr,0,4,1,0,k,r,5
Non-Eastern European,schmidt,0,7,1,0,s,t,5
Non-Eastern European,jensen,0,6,2,0,j,n,5
Non-Eastern European,farrell,0,7,2,0,f,l,5
Non-Eastern European,cote,0,4,2,0,c,e,5
Non-Eastern European,cooley,0,6,3,0,c,y,5
Montenegro,Marković,2,8,3,1,M,ć,4
Non-Eastern European,larson,0,6,2,0,l,n,5
Non-Eastern European,harvey,0,6,2,0,h,y,5
Non-Eastern European,whitehead,0,9,4,0,w,d,5
Non-Eastern European,lowe,0,4,2,0,l,e,5
Non-Eastern European,alvarado,0,8,4,0,a,o,5
Non-Eastern European,houston,0,7,3,0,h,n,5
Serbia,Marjanović,83,10,4,1,M,ć,2
Non-Eastern European,montoya,0,7,3,0,m,a,5
Non-Eastern European,mcfadden,0,8,2,0,m,n,5
Montenegro,Jokić,91,5,2,1,J,ć,4
Non-Eastern European,hoffman,0,7,2,0,h,n,5
Serbia,Milosavljević,42,13,5,1,M,ć,2
Non-Eastern European,cantrell,0,8,2,0,c,l,5
Non-Eastern European,blevins,0,7,2,0,b,s,5
Non-Eastern European,macias,0,6,3,0,m,s,5
Non-Eastern European,rosales,0,7,3,0,r,s,5
Non-Eastern European,bryan,0,5,1,0,b,n,5
Non-Eastern European,mosley,0,6,2,0,m,y,5
Serbia,Ristić,14,6,2,1,R,ć,2
Non-Eastern European,wolfe,0,5,2,0,w,e,5
Non-Eastern European,atkinson,0,8,3,0,a,n,5
Non-Eastern European,thompson,0,8,2,0,t,n,5
Croatia,Ivančić,59,7,3,2,I,ć,0
Non-Eastern European,sharp,0,5,1,0,s,p,5
Non-Eastern European,soto,0,4,2,0,s,o,5
Non-Eastern European,cruz,0,4,1,0,c,z,5
Non-Eastern European,savage,0,6,3,0,s,e,5
Non-Eastern European,sweeney,0,7,3,0,s,y,5
Bosnia and Herzegovina,Matić,70,5,2,1,M,ć,3
Non-Eastern European,riggs,0,5,1,0,r,s,5
Bosnia and Herzegovina,Bešić,61,5,2,2,B,ć,3
Non-Eastern European,winters,0,7,2,0,w,s,5
Non-Eastern European,villarreal,0,10,4,0,v,l,5
Non-Eastern European,mayo,0,4,2,0,m,o,5
Non-Eastern European,valenzuela,0,10,5,0,v,a,5
Non-Eastern European,kemp,0,4,1,0,k,p,5
Serbia,Ranđelović,98,10,4,2,R,ć,2
Non-Eastern European,britt,0,5,1,0,b,t,5
Non-Eastern European,rich,0,4,1,0,r,h,5
Non-Eastern European,castro,0,6,2,0,c,o,5
Non-Eastern European,bowen,0,5,2,0,b,n,5
Non-Eastern European,holloway,0,8,3,0,h,y,5
Non-Eastern European,nguyen,0,6,2,0,n,n,5
Serbia,Stevanović,39,10,4,1,S,ć,2
Non-Eastern European,price,0,5,2,0,p,e,5
Non-Eastern European,bean,0,4,2,0,b,n,5
Serbia,Nikolić,2,7,3,1,N,ć,2
Non-Eastern European,nichols,0,7,2,0,n,s,5
Non-Eastern European,barrett,0,7,2,0,b,t,5
Non-Eastern European,herman,0,6,2,0,h,n,5
Croatia,Vidaković,82,9,4,1,V,ć,0
Non-Eastern European,mayer,0,5,2,0,m,r,5
Non-Eastern European,bradshaw,0,8,2,0,b,w,5
Non-Eastern European,york,0,4,1,0,y,k,5
Non-Eastern European,fox,0,3,1,0,f,x,5
Bosnia and Herzegovina,Ivanović,87,8,4,1,I,ć,3
Slovenia,Bizjak,16,6,2,0,B,k,1
Non-Eastern European,mejia,0,5,3,0,m,a,5
Non-Eastern European,lambert,0,7,2,0,l,t,5
Non-Eastern European,mcintosh,0,8,2,0,m,h,5
Non-Eastern European,hill,0,4,1,0,h,l,5
Non-Eastern European,pate,0,4,2,0,p,e,5
Non-Eastern European,hartman,0,7,2,0,h,n,5
Non-Eastern European,harper,0,6,2,0,h,r,5
Non-Eastern European,craft,0,5,1,0,c,t,5
Bosnia and Herzegovina,Popović,17,7,3,1,P,ć,3
Non-Eastern European,hoffman,0,7,2,0,h,n,5
Non-Eastern European,pratt,0,5,1,0,p,t,5
Non-Eastern European,nelson,0,6,2,0,n,n,5
Non-Eastern European,goff,0,4,1,0,g,f,5
Non-Eastern European,dalton,0,6,2,0,d,n,5
Non-Eastern European,james,0,5,2,0,j,s,5
Non-Eastern European,christian,0,9,3,0,c,n,5
Non-Eastern European,koch,0,4,1,0,k,h,5
Non-Eastern European,daniels,0,7,3,0,d,s,5
Non-Eastern European,huber,0,5,2,0,h,r,5
Non-Eastern European,figueroa,0,8,5,0,f,a,5
Non-Eastern European,alston,0,6,2,0,a,n,5
Non-Eastern European,campbell,0,8,2,0,c,l,5
Montenegro,Mijušković,94,10,4,2,M,ć,4
Non-Eastern European,lancaster,0,9,3,0,l,r,5
Non-Eastern European,chen,0,4,1,0,c,n,5
Non-Eastern European,gillespie,0,9,4,0,g,e,5
Non-Eastern European,gilbert,0,7,2,0,g,t,5
Non-Eastern European,garza,0,5,2,0,g,a,5
Non-Eastern European,perkins,0,7,2,0,p,s,5
Non-Eastern European,santiago,0,8,4,0,s,o,5
Non-Eastern European,may,0,3,1,0,m,y,5
Bosnia and Herzegovina,Alić,34,4,2,1,A,ć,3
Serbia,Zdravković,60,10,3,1,Z,ć,2
Non-Eastern European,pollard,0,7,2,0,p,d,5
Bosnia and Herzegovina,Marjanović,29,10,4,1,M,ć,3
Non-Eastern European,combs,0,5,1,0,c,s,5
Non-Eastern European,wong,0,4,1,0,w,g,5
Non-Eastern European,wiggins,0,7,2,0,w,s,5
Non-Eastern European,palmer,0,6,2,0,p,r,5
Non-Eastern European,porter,0,6,2,0,p,r,5
Non-Eastern European,bryant,0,6,1,0,b,t,5
Slovenia,Mihelič,82,7,3,1,M,č,1
Montenegro,Stanković,89,9,3,1,S,ć,4
Non-Eastern European,luna,0,4,2,0,l,a,5
Croatia,Šarić,87,5,2,2,Š,ć,0
Non-Eastern European,daugherty,0,9,3,0,d,y,5
Non-Eastern European,baird,0,5,2,0,b,d,5
Bosnia and Herzegovina,Mijatović,72,9,4,1,M,ć,3
Non-Eastern European,buckner,0,7,2,0,b,r,5
Non-Eastern European,bates,0,5,2,0,b,s,5
Serbia,Vučković,71,8,3,2,V,ć,2
Serbia,Radulović,93,9,4,1,R,ć,2
Non-Eastern European,forbes,0,6,2,0,f,s,5
Bosnia and Herzegovina,Mehić,65,5,2,1,M,ć,3
Croatia,Dujmović,55,8,3,1,D,ć,0
Non-Eastern European,mathis,0,6,2,0,m,s,5
Non-Eastern European,cash,0,4,1,0,c,h,5
Non-Eastern European,rowe,0,4,2,0,r,e,5
Non-Eastern European,best,0,4,1,0,b,t,5
Non-Eastern European,salazar,0,7,3,0,s,r,5
Non-Eastern European,perez,0,5,2,0,p,z,5
Non-Eastern European,reid,0,4,2,0,r,d,5
Serbia,Petković,27,8,3,1,P,ć,2
Slovenia,Kotnik,18,6,2,0,K,k,1
Non-Eastern European,sykes,0,5,1,0,s,s,5
Non-Eastern European,kelley,0,6,2,0,k,y,5
Non-Eastern European,mendoza,0,7,3,0,m,a,5
Slovenia,Hren,79,4,1,0,H,n,1
Non-Eastern European,stewart,0,7,2,0,s,t,5
Non-Eastern European,webb,0,4,1,0,w,b,5
Non-Eastern European,mills,0,5,1,0,m,s,5
Non-Eastern European,morin,0,5,2,0,m,n,5
Croatia,Novak,19,5,2,0,N,k,0
Montenegro,Radunović,31,9,4,1,R,ć,4
Non-Eastern European,mccormick,0,9,2,0,m,k,5
